Date,DF,D,AD,HourPST,HourUTC,Day,Day Name
7/1/2015,865,873,873,0,8,3,Wednesday
7/1/2015,841,833,833,1,9,3,Wednesday
7/1/2015,790,802,802,2,10,3,Wednesday
7/1/2015,783,796,796,3,11,3,Wednesday
7/1/2015,800,807,807,4,12,3,Wednesday
7/1/2015,857,856,856,5,13,3,Wednesday
7/1/2015,976,974,974,6,14,3,Wednesday
7/1/2015,1086,1085,1085,7,15,3,Wednesday
7/1/2015,1140,1155,1155,8,16,3,Wednesday
7/1/2015,1175,1195,1195,9,17,3,Wednesday
7/1/2015,1200,1211,1211,10,18,3,Wednesday
7/1/2015,1225,1235,1235,11,19,3,Wednesday
7/1/2015,1235,1248,1248,12,20,3,Wednesday
7/1/2015,1245,1254,1254,13,21,3,Wednesday
7/1/2015,1250,1262,1262,14,22,3,Wednesday
7/1/2015,1250,1275,1275,15,23,3,Wednesday
7/1/2015,1250,1282,1282,16,0,3,Wednesday
7/1/2015,1240,1277,1277,17,1,3,Wednesday
7/1/2015,1185,1226,1226,18,2,3,Wednesday
7/1/2015,1150,1186,1186,19,3,3,Wednesday
7/1/2015,1125,1157,1157,20,4,3,Wednesday
7/1/2015,1110,1148,1148,21,5,3,Wednesday
7/1/2015,1055,1099,1099,22,6,3,Wednesday
7/1/2015,955,995,995,23,7,3,Wednesday
7/2/2015,890,921,921,0,8,4,Thursday
7/2/2015,842,859,859,1,9,4,Thursday
7/2/2015,815,826,826,2,10,4,Thursday
7/2/2015,810,819,819,3,11,4,Thursday
7/2/2015,817,826,826,4,12,4,Thursday
7/2/2015,880,870,870,5,13,4,Thursday
7/2/2015,990,980,980,6,14,4,Thursday
7/2/2015,1114,1095,1095,7,15,4,Thursday
7/2/2015,1162,1164,1164,8,16,4,Thursday
7/2/2015,1207,1209,1209,9,17,4,Thursday
7/2/2015,1238,1231,1231,10,18,4,Thursday
7/2/2015,1261,1246,1246,11,19,4,Thursday
7/2/2015,1255,1265,1265,12,20,4,Thursday
7/2/2015,1270,1268,1268,13,21,4,Thursday
7/2/2015,1270,1282,1282,14,22,4,Thursday
7/2/2015,1275,1281,1281,15,23,4,Thursday
7/2/2015,1275,1284,1284,16,0,4,Thursday
7/2/2015,1260,1281,1281,17,1,4,Thursday
7/2/2015,1205,1221,1221,18,2,4,Thursday
7/2/2015,1160,1176,1176,19,3,4,Thursday
7/2/2015,1140,1140,1140,20,4,4,Thursday
7/2/2015,1120,1121,1121,21,5,4,Thursday
7/2/2015,1070,1083,1083,22,6,4,Thursday
7/2/2015,985,992,992,23,7,4,Thursday
7/3/2015,921,923,923,0,8,5,Friday
7/3/2015,853,867,867,1,9,5,Friday
7/3/2015,836,834,834,2,10,5,Friday
7/3/2015,873,818,818,3,11,5,Friday
7/3/2015,875,846,846,4,12,5,Friday
7/3/2015,885,865,865,5,13,5,Friday
7/3/2015,935,936,936,6,14,5,Friday
7/3/2015,1005,1015,1015,7,15,5,Friday
7/3/2015,1085,1080,1080,8,16,5,Friday
7/3/2015,1155,1133,1133,9,17,5,Friday
7/3/2015,1185,1178,1178,10,18,5,Friday
7/3/2015,1205,1204,1204,11,19,5,Friday
