Demand for Seattle City Light (SCL) hourly - local time
https://www.eia.gov/opendata/qb.php?category=3390000&sdid=EBA.SCL-ALL.D.HL
16:56:52 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SCL-ALL.D.HL megawatthours
01/14/20 15:00 -0800,1443
01/14/20 14:00 -0800,1694
01/14/20 13:00 -0800,1718
01/14/20 12:00 -0800,1733
01/14/20 11:00 -0800,1724
01/14/20 10:00 -0800,1719
01/14/20 09:00 -0800,1722
01/14/20 08:00 -0800,1672
01/14/20 07:00 -0800,1551
01/14/20 06:00 -0800,1394
01/14/20 05:00 -0800,1288
01/14/20 04:00 -0800,1230
01/14/20 03:00 -0800,1201
01/14/20 02:00 -0800,1205
01/14/20 01:00 -0800,1239
01/14/20 00:00 -0800,1301
01/13/20 23:00 -0800,1399
01/13/20 22:00 -0800,1517
01/13/20 21:00 -0800,1600
01/13/20 20:00 -0800,1662
01/13/20 19:00 -0800,1707
01/13/20 18:00 -0800,1729
01/13/20 17:00 -0800,1653
01/13/20 16:00 -0800,1603
01/13/20 15:00 -0800,1595
01/13/20 14:00 -0800,1600
01/13/20 13:00 -0800,1609
01/13/20 12:00 -0800,1620
01/13/20 11:00 -0800,1621
01/13/20 10:00 -0800,1651
01/13/20 09:00 -0800,1624
01/13/20 08:00 -0800,1597
01/13/20 07:00 -0800,1487
01/13/20 06:00 -0800,1337
01/13/20 05:00 -0800,1209
01/13/20 04:00 -0800,1150
01/13/20 03:00 -0800,1119
01/13/20 02:00 -0800,1132
01/13/20 01:00 -0800,1145
01/13/20 00:00 -0800,1209
01/12/20 23:00 -0800,1303
01/12/20 22:00 -0800,1395
01/12/20 21:00 -0800,1450
01/12/20 20:00 -0800,1492
01/12/20 19:00 -0800,1473
01/12/20 18:00 -0800,1483
01/12/20 17:00 -0800,1392
01/12/20 16:00 -0800,1361
01/12/20 15:00 -0800,1377
01/12/20 14:00 -0800,1382
01/12/20 13:00 -0800,1391
01/12/20 12:00 -0800,1393
01/12/20 11:00 -0800,1378
01/12/20 10:00 -0800,1326
01/12/20 09:00 -0800,1260
01/12/20 08:00 -0800,1202
01/12/20 07:00 -0800,1137
01/12/20 06:00 -0800,1081
01/12/20 05:00 -0800,1050
01/12/20 04:00 -0800,1042
01/12/20 03:00 -0800,1048
01/12/20 02:00 -0800,1070
01/12/20 01:00 -0800,1104
01/12/20 00:00 -0800,1166
01/11/20 23:00 -0800,1204
01/11/20 22:00 -0800,1279
01/11/20 21:00 -0800,1340
01/11/20 20:00 -0800,1373
01/11/20 19:00 -0800,1402
01/11/20 18:00 -0800,1417
01/11/20 17:00 -0800,1384
01/11/20 16:00 -0800,1331
01/11/20 15:00 -0800,1325
01/11/20 14:00 -0800,1343
01/11/20 13:00 -0800,1363
01/11/20 12:00 -0800,1362
01/11/20 11:00 -0800,1358
01/11/20 10:00 -0800,1309
01/11/20 09:00 -0800,1257
01/11/20 08:00 -0800,1185
01/11/20 07:00 -0800,1114
01/11/20 06:00 -0800,1057
01/11/20 05:00 -0800,1028
01/11/20 04:00 -0800,1023
01/11/20 03:00 -0800,1025
01/11/20 02:00 -0800,1052
01/11/20 01:00 -0800,1100
01/11/20 00:00 -0800,1170
01/10/20 23:00 -0800,1234
01/10/20 22:00 -0800,1323
01/10/20 21:00 -0800,1394
01/10/20 20:00 -0800,1460
01/10/20 19:00 -0800,1493
01/10/20 18:00 -0800,1539
01/10/20 17:00 -0800,1502
01/10/20 16:00 -0800,1456
01/10/20 15:00 -0800,1431
01/10/20 14:00 -0800,1488
01/10/20 13:00 -0800,1516
01/10/20 12:00 -0800,1528
01/10/20 11:00 -0800,1548
01/10/20 10:00 -0800,1555
01/10/20 09:00 -0800,1574
01/10/20 08:00 -0800,1574
01/10/20 07:00 -0800,1441
01/10/20 06:00 -0800,1256
01/10/20 05:00 -0800,1134
01/10/20 04:00 -0800,1069
01/10/20 03:00 -0800,1034
01/10/20 02:00 -0800,1049
01/10/20 01:00 -0800,1082
01/10/20 00:00 -0800,1157
01/09/20 23:00 -0800,1260
01/09/20 22:00 -0800,1368
01/09/20 21:00 -0800,1440
01/09/20 20:00 -0800,1483
01/09/20 19:00 -0800,1513
01/09/20 18:00 -0800,1519
01/09/20 17:00 -0800,1447
01/09/20 16:00 -0800,1392
01/09/20 15:00 -0800,1369
01/09/20 14:00 -0800,1379
01/09/20 13:00 -0800,1424
01/09/20 12:00 -0800,1454
01/09/20 11:00 -0800,1476
01/09/20 10:00 -0800,1484
01/09/20 09:00 -0800,1509
01/09/20 08:00 -0800,1513
01/09/20 07:00 -0800,1387
01/09/20 06:00 -0800,1201
01/09/20 05:00 -0800,1081
01/09/20 04:00 -0800,1027
01/09/20 03:00 -0800,1017
01/09/20 02:00 -0800,1037
01/09/20 01:00 -0800,1070
01/09/20 00:00 -0800,1127
01/08/20 23:00 -0800,1223
01/08/20 22:00 -0800,1330
01/08/20 21:00 -0800,1401
01/08/20 20:00 -0800,1446
01/08/20 19:00 -0800,1468
01/08/20 18:00 -0800,1469
01/08/20 17:00 -0800,1412
01/08/20 16:00 -0800,1367
01/08/20 15:00 -0800,1338
01/08/20 14:00 -0800,1338
01/08/20 13:00 -0800,1331
01/08/20 12:00 -0800,1340
01/08/20 11:00 -0800,1348
01/08/20 10:00 -0800,1368
01/08/20 09:00 -0800,1395
01/08/20 08:00 -0800,1408
01/08/20 07:00 -0800,1271
01/08/20 06:00 -0800,1130
01/08/20 05:00 -0800,1022
01/08/20 04:00 -0800,958
01/08/20 03:00 -0800,951
01/08/20 02:00 -0800,963
01/08/20 01:00 -0800,996
01/08/20 00:00 -0800,1053
01/07/20 23:00 -0800,1155
01/07/20 22:00 -0800,1255
01/07/20 21:00 -0800,1323
01/07/20 20:00 -0800,1362
01/07/20 19:00 -0800,1392
01/07/20 18:00 -0800,1404
01/07/20 17:00 -0800,1343
01/07/20 16:00 -0800,1284
01/07/20 15:00 -0800,1263
01/07/20 14:00 -0800,1276
01/07/20 13:00 -0800,1306
01/07/20 12:00 -0800,1314
01/07/20 11:00 -0800,1322
01/07/20 10:00 -0800,1338
01/07/20 09:00 -0800,1366
01/07/20 08:00 -0800,1377
01/07/20 07:00 -0800,1266
