date,Hour,dem_forecast,demand,adjusted_data
7/1/2015,1,865,873,873
7/1/2015,2,841,833,833
7/1/2015,3,790,802,802
7/1/2015,4,783,796,796
7/1/2015,5,800,807,807
7/1/2015,6,857,856,856
7/1/2015,7,976,974,974
7/1/2015,8,1086,1085,1085
7/1/2015,9,1140,1155,1155
7/1/2015,10,1175,1195,1195
7/1/2015,11,1200,1211,1211
7/1/2015,12,1225,1235,1235
7/1/2015,13,1235,1248,1248
7/1/2015,14,1245,1254,1254
7/1/2015,15,1250,1262,1262
7/1/2015,16,1250,1275,1275
7/1/2015,17,1250,1282,1282
7/1/2015,18,1240,1277,1277
7/1/2015,19,1185,1226,1226
7/1/2015,20,1150,1186,1186
7/1/2015,21,1125,1157,1157
7/1/2015,22,1110,1148,1148
7/1/2015,23,1055,1099,1099
7/1/2015,24,955,995,995
7/2/2015,1,890,921,921
7/2/2015,2,842,859,859
7/2/2015,3,815,826,826
7/2/2015,4,810,819,819
7/2/2015,5,817,826,826
7/2/2015,6,880,870,870
7/2/2015,7,990,980,980
7/2/2015,8,1114,1095,1095
7/2/2015,9,1162,1164,1164
7/2/2015,10,1207,1209,1209
7/2/2015,11,1238,1231,1231
7/2/2015,12,1261,1246,1246
7/2/2015,13,1255,1265,1265
7/2/2015,14,1270,1268,1268
7/2/2015,15,1270,1282,1282
7/2/2015,16,1275,1281,1281
7/2/2015,17,1275,1284,1284
7/2/2015,18,1260,1281,1281
7/2/2015,19,1205,1221,1221
7/2/2015,20,1160,1176,1176
7/2/2015,21,1140,1140,1140
7/2/2015,22,1120,1121,1121
7/2/2015,23,1070,1083,1083
7/2/2015,24,985,992,992
7/3/2015,1,921,923,923
7/3/2015,2,853,867,867
7/3/2015,3,836,834,834
7/3/2015,4,873,818,818
7/3/2015,5,875,846,846
7/3/2015,6,885,865,865
7/3/2015,7,935,936,936
7/3/2015,8,1005,1015,1015
7/3/2015,9,1085,1080,1080
7/3/2015,10,1155,1133,1133
7/3/2015,11,1185,1178,1178
7/3/2015,12,1205,1204,1204
7/3/2015,13,1205,1209,1209
7/3/2015,14,1215,1220,1220
7/3/2015,15,1205,1218,1218
7/3/2015,16,1220,1228,1228
7/3/2015,17,1250,1240,1240
7/3/2015,18,1280,1236,1236
7/3/2015,19,1255,1204,1204
7/3/2015,20,1230,1171,1171
7/3/2015,21,1235,1134,1134
7/3/2015,22,1200,1128,1128
7/3/2015,23,1145,1096,1096
7/3/2015,24,1070,1026,1026
7/4/2015,1,960,960,960
7/4/2015,2,905,905,905
7/4/2015,3,870,868,868
7/4/2015,4,845,860,860
7/4/2015,5,840,844,844
7/4/2015,6,855,831,831
7/4/2015,7,860,854,854
7/4/2015,8,915,910,910
7/4/2015,9,1035,998,998
7/4/2015,10,1105,1044,1044
7/4/2015,11,1145,1087,1087
7/4/2015,12,1160,1104,1104
7/4/2015,13,1165,1118,1118
