date,hour,mwh
7/1/2015,8,873
7/1/2015,9,833
7/1/2015,10,802
7/1/2015,11,796
7/1/2015,12,807
7/1/2015,13,856
7/1/2015,14,974
7/1/2015,15,1085
7/1/2015,16,1155
7/1/2015,17,1195
7/1/2015,18,1211
7/1/2015,19,1235
7/1/2015,20,1248
7/1/2015,21,1254
7/1/2015,22,1262
7/1/2015,23,1275
7/2/2015,0,1282
7/2/2015,1,1277
7/2/2015,2,1226
7/2/2015,3,1186
7/2/2015,4,1157
7/2/2015,5,1148
7/2/2015,6,1099
7/2/2015,7,995
7/2/2015,8,921
7/2/2015,9,859
7/2/2015,10,826
7/2/2015,11,819
7/2/2015,12,826
7/2/2015,13,870
7/2/2015,14,980
7/2/2015,15,1095
7/2/2015,16,1164
7/2/2015,17,1209
7/2/2015,18,1231
7/2/2015,19,1246
7/2/2015,20,1265
7/2/2015,21,1268
7/2/2015,22,1282
7/2/2015,23,1281
7/3/2015,0,1284
7/3/2015,1,1281
7/3/2015,2,1221
7/3/2015,3,1176
7/3/2015,4,1140
7/3/2015,5,1121
7/3/2015,6,1083
7/3/2015,7,992
7/3/2015,8,923
7/3/2015,9,867
7/3/2015,10,834
7/3/2015,11,818
7/3/2015,12,846
7/3/2015,13,865
7/3/2015,14,936
7/3/2015,15,1015
7/3/2015,16,1080
7/3/2015,17,1133
7/3/2015,18,1178
7/3/2015,19,1204
7/3/2015,20,1209
7/3/2015,21,1220
7/3/2015,22,1218
7/3/2015,23,1228
7/4/2015,0,1240
7/4/2015,1,1236
7/4/2015,2,1204
7/4/2015,3,1171
7/4/2015,4,1134
7/4/2015,5,1128
7/4/2015,6,1096
7/4/2015,7,1026
7/4/2015,8,960
7/4/2015,9,905
7/4/2015,10,868
7/4/2015,11,860
7/4/2015,12,844
7/4/2015,13,831
7/4/2015,14,854
7/4/2015,15,910
7/4/2015,16,998
7/4/2015,17,1044
7/4/2015,18,1087
7/4/2015,19,1104
7/4/2015,20,1118
7/4/2015,21,1116
7/4/2015,22,1121
7/4/2015,23,1108
7/5/2015,0,1118
7/5/2015,1,1109
7/5/2015,2,1105
7/5/2015,3,1073
7/5/2015,4,1051
7/5/2015,5,1035
7/5/2015,6,1004
7/5/2015,7,978
7/5/2015,8,930
7/5/2015,9,891
7/5/2015,10,867
7/5/2015,11,846
7/5/2015,12,837
7/5/2015,13,817
7/5/2015,14,826
7/5/2015,15,877
7/5/2015,16,918
7/5/2015,17,1021
7/5/2015,18,1072
7/5/2015,19,1099
7/5/2015,20,1115
7/5/2015,21,1133
7/5/2015,22,1087
7/5/2015,23,1104
7/6/2015,0,1117
7/6/2015,1,1125
7/6/2015,2,1157
7/6/2015,3,1163
7/6/2015,4,1157
7/6/2015,5,1158
7/6/2015,6,1114
7/6/2015,7,1020
7/6/2015,8,950
7/6/2015,9,909
7/6/2015,10,888
7/6/2015,11,875
7/6/2015,12,901
7/6/2015,13,932
7/6/2015,14,1035
7/6/2015,15,1114
7/6/2015,16,1188
7/6/2015,17,1215
7/6/2015,18,1268
7/6/2015,19,1290
7/6/2015,20,1288
7/6/2015,21,1321
7/6/2015,22,1330
7/6/2015,23,1325
7/7/2015,0,1334
7/7/2015,1,1327
7/7/2015,2,1280
7/7/2015,3,1240
7/7/2015,4,1197
7/7/2015,5,1184
7/7/2015,6,1118
7/7/2015,7,1018
7/7/2015,8,940
7/7/2015,9,889
7/7/2015,10,855
7/7/2015,11,842
7/7/2015,12,861
7/7/2015,13,887
7/7/2015,14,1005
7/7/2015,15,1104
7/7/2015,16,1148
7/7/2015,17,1187
7/7/2015,18,1204
7/7/2015,19,1233
7/7/2015,20,1228
7/7/2015,21,1252
7/7/2015,22,1266
7/7/2015,23,1266
7/8/2015,0,1271
7/8/2015,1,1237
7/8/2015,2,1159
7/8/2015,3,1119
7/8/2015,4,1095
7/8/2015,5,1080
7/8/2015,6,1022
7/8/2015,7,926
7/8/2015,8,849
7/8/2015,9,812
7/8/2015,10,783
7/8/2015,11,775
7/8/2015,12,793
7/8/2015,13,832
7/8/2015,14,943
7/8/2015,15,1052
7/8/2015,16,1105
7/8/2015,17,1131
7/8/2015,18,1172
7/8/2015,19,1201
7/8/2015,20,1213
7/8/2015,21,1220
7/8/2015,22,1206
7/8/2015,23,1227
7/9/2015,0,1239
7/9/2015,1,1231
7/9/2015,2,1177
7/9/2015,3,1138
7/9/2015,4,1111
7/9/2015,5,1105
7/9/2015,6,1053
7/9/2015,7,955
7/9/2015,8,870
7/9/2015,9,827
7/9/2015,10,802
7/9/2015,11,789
7/9/2015,12,798
7/9/2015,13,848
7/9/2015,14,946
7/9/2015,15,1051
7/9/2015,16,1101
7/9/2015,17,1136
7/9/2015,18,1178
7/9/2015,19,1199
7/9/2015,20,1216
7/9/2015,21,1238
7/9/2015,22,1244
7/9/2015,23,1255
7/10/2015,0,1255
7/10/2015,1,1249
7/10/2015,2,1200
7/10/2015,3,1152
7/10/2015,4,1120
7/10/2015,5,1114
7/10/2015,6,1055
7/10/2015,7,949
7/10/2015,8,870
7/10/2015,9,823
7/10/2015,10,796
7/10/2015,11,790
7/10/2015,12,830
7/10/2015,13,871
7/10/2015,14,972
7/10/2015,15,1093
7/10/2015,16,1141
7/10/2015,17,1181
7/10/2015,18,1194
7/10/2015,19,1209
7/10/2015,20,1211
7/10/2015,21,1198
7/10/2015,22,1193
7/10/2015,23,1179
7/11/2015,0,1168
7/11/2015,1,1141
7/11/2015,2,1088
7/11/2015,3,1064
7/11/2015,4,1041
7/11/2015,5,1042
7/11/2015,6,1005
7/11/2015,7,937
7/11/2015,8,872
7/11/2015,9,805
7/11/2015,10,775
7/11/2015,11,797
7/11/2015,12,798
7/11/2015,13,808
7/11/2015,14,825
7/11/2015,15,890
7/11/2015,16,965
7/11/2015,17,1008
7/11/2015,18,1054
7/11/2015,19,1041
7/11/2015,20,1066
7/11/2015,21,1038
7/11/2015,22,1044
7/11/2015,23,1028
7/12/2015,0,1021
7/12/2015,1,1023
7/12/2015,2,1017
7/12/2015,3,1005
7/12/2015,4,997
7/12/2015,5,1000
7/12/2015,6,966
7/12/2015,7,911
7/12/2015,8,853
7/12/2015,9,826
7/12/2015,10,803
7/12/2015,11,785
7/12/2015,12,798
7/12/2015,13,799
7/12/2015,14,819
7/12/2015,15,864
7/12/2015,16,905
7/12/2015,17,984
7/12/2015,18,1025
7/12/2015,19,1052
7/12/2015,20,1070
7/12/2015,21,1028
7/12/2015,22,1044
7/12/2015,23,1064
7/13/2015,0,1078
7/13/2015,1,1101
7/13/2015,2,1091
7/13/2015,3,1084
7/13/2015,4,1075
7/13/2015,5,1076
7/13/2015,6,1026
7/13/2015,7,938
7/13/2015,8,877
7/13/2015,9,841
7/13/2015,10,822
7/13/2015,11,817
7/13/2015,12,842
7/13/2015,13,902
7/13/2015,14,1011
7/13/2015,15,1134
7/13/2015,16,1175
7/13/2015,17,1182
7/13/2015,18,1210
7/13/2015,19,1219
7/13/2015,20,1230
7/13/2015,21,1250
7/13/2015,22,1249
7/13/2015,23,1235
7/14/2015,0,1229
7/14/2015,1,1222
7/14/2015,2,1187
7/14/2015,3,1144
7/14/2015,4,1122
7/14/2015,5,1107
7/14/2015,6,1049
7/14/2015,7,940
7/14/2015,8,869
7/14/2015,9,812
7/14/2015,10,804
7/14/2015,11,804
7/14/2015,12,825
7/14/2015,13,858
7/14/2015,14,977
7/14/2015,15,1098
7/14/2015,16,1145
7/14/2015,17,1178
7/14/2015,18,1198
7/14/2015,19,1227
7/14/2015,20,1225
7/14/2015,21,1248
7/14/2015,22,1253
7/14/2015,23,1244
7/15/2015,0,1237
7/15/2015,1,1222
7/15/2015,2,1132
7/15/2015,3,1098
7/15/2015,4,1071
7/15/2015,5,1067
7/15/2015,6,1013
7/15/2015,7,912
7/15/2015,8,838
7/15/2015,9,795
7/15/2015,10,770
7/15/2015,11,755
7/15/2015,12,774
7/15/2015,13,804
7/15/2015,14,934
7/15/2015,15,1057
7/15/2015,16,1108
7/15/2015,17,1142
7/15/2015,18,1145
7/15/2015,19,1176
7/15/2015,20,1185
7/15/2015,21,1186
7/15/2015,22,1182
7/15/2015,23,1189
7/16/2015,0,1193
7/16/2015,1,1178
7/16/2015,2,1123
7/16/2015,3,1084
7/16/2015,4,1065
7/16/2015,5,1069
7/16/2015,6,995
7/16/2015,7,901
7/16/2015,8,838
7/16/2015,9,792
7/16/2015,10,765
7/16/2015,11,758
7/16/2015,12,767
7/16/2015,13,823
7/16/2015,14,924
7/16/2015,15,1026
7/16/2015,16,1064
7/16/2015,17,1093
7/16/2015,18,1119
7/16/2015,19,1136
7/16/2015,20,1154
7/16/2015,21,1161
7/16/2015,22,1177
7/16/2015,23,1160
7/17/2015,0,1170
7/17/2015,1,1159
7/17/2015,2,1115
7/17/2015,3,1080
7/17/2015,4,1049
7/17/2015,5,1047
7/17/2015,6,1006
7/17/2015,7,911
7/17/2015,8,834
7/17/2015,9,791
7/17/2015,10,764
7/17/2015,11,772
7/17/2015,12,788
7/17/2015,13,835
7/17/2015,14,970
7/17/2015,15,1068
7/17/2015,16,1126
7/17/2015,17,1167
7/17/2015,18,1195
7/17/2015,19,1219
7/17/2015,20,1233
7/17/2015,21,1229
7/17/2015,22,1220
7/17/2015,23,1211
7/18/2015,0,1209
7/18/2015,1,1192
7/18/2015,2,1141
7/18/2015,3,1107
7/18/2015,4,1081
7/18/2015,5,1087
7/18/2015,6,1042
7/18/2015,7,963
7/18/2015,8,898
7/18/2015,9,856
7/18/2015,10,826
7/18/2015,11,816
7/18/2015,12,821
7/18/2015,13,814
7/18/2015,14,828
7/18/2015,15,896
7/18/2015,16,982
7/18/2015,17,1072
7/18/2015,18,1114
7/18/2015,19,1143
7/18/2015,20,1147
7/18/2015,21,1152
7/18/2015,22,1157
7/18/2015,23,1157
7/19/2015,0,1158
7/19/2015,1,1162
7/19/2015,2,1145
7/19/2015,3,1136
7/19/2015,4,1113
7/19/2015,5,1112
7/19/2015,6,1078
7/19/2015,7,1010
7/19/2015,8,946
7/19/2015,9,902
7/19/2015,10,868
7/19/2015,11,859
7/19/2015,12,836
7/19/2015,13,832
7/19/2015,14,859
7/19/2015,15,929
7/19/2015,16,1002
7/19/2015,17,1078
7/19/2015,18,1113
7/19/2015,19,1160
7/19/2015,20,1182
7/19/2015,21,1196
7/19/2015,22,1209
7/19/2015,23,1219
7/20/2015,0,1249
7/20/2015,1,1238
7/20/2015,2,1234
7/20/2015,3,1217
7/20/2015,4,1194
7/20/2015,5,1198
7/20/2015,6,1139
7/20/2015,7,1039
7/20/2015,8,946
7/20/2015,9,908
7/20/2015,10,879
7/20/2015,11,875
7/20/2015,12,898
7/20/2015,13,952
7/20/2015,14,1044
7/20/2015,15,1132
7/20/2015,16,1182
7/20/2015,17,1191
7/20/2015,18,1229
7/20/2015,19,1250
7/20/2015,20,1247
7/20/2015,21,1238
7/20/2015,22,1248
7/20/2015,23,1253
7/21/2015,0,1260
7/21/2015,1,1264
7/21/2015,2,1227
7/21/2015,3,1184
7/21/2015,4,1144
7/21/2015,5,1151
7/21/2015,6,1075
7/21/2015,7,977
7/21/2015,8,910
7/21/2015,9,870
7/21/2015,10,832
7/21/2015,11,835
7/21/2015,12,847
7/21/2015,13,902
7/21/2015,14,1013
7/21/2015,15,1092
7/21/2015,16,1138
7/21/2015,17,1166
7/21/2015,18,1184
7/21/2015,19,1196
7/21/2015,20,1202
7/21/2015,21,1210
7/21/2015,22,1211
7/21/2015,23,1186
7/22/2015,0,1189
7/22/2015,1,1162
7/22/2015,2,1082
7/22/2015,3,1049
7/22/2015,4,1026
7/22/2015,5,1028
7/22/2015,6,969
7/22/2015,7,891
7/22/2015,8,810
7/22/2015,9,778
7/22/2015,10,752
7/22/2015,11,744
7/22/2015,12,764
7/22/2015,13,812
7/22/2015,14,919
7/22/2015,15,1009
7/22/2015,16,1066
7/22/2015,17,1113
7/22/2015,18,1122
7/22/2015,19,1156
7/22/2015,20,1155
7/22/2015,21,1158
7/22/2015,22,1153
7/22/2015,23,1143
7/23/2015,0,1149
7/23/2015,1,1133
7/23/2015,2,1093
7/23/2015,3,1057
7/23/2015,4,1038
7/23/2015,5,1035
7/23/2015,6,978
7/23/2015,7,886
7/23/2015,8,816
7/23/2015,9,772
7/23/2015,10,755
7/23/2015,11,744
7/23/2015,12,758
7/23/2015,13,816
7/23/2015,14,918
7/23/2015,15,1030
7/23/2015,16,1060
7/23/2015,17,1098
7/23/2015,18,1115
7/23/2015,19,1135
7/23/2015,20,1147
7/23/2015,21,1168
7/23/2015,22,1160
7/23/2015,23,1151
7/24/2015,0,1162
7/24/2015,1,1147
7/24/2015,2,1095
7/24/2015,3,1058
7/24/2015,4,1032
7/24/2015,5,1036
7/24/2015,6,980
7/24/2015,7,897
7/24/2015,8,824
7/24/2015,9,776
7/24/2015,10,759
7/24/2015,11,743
7/24/2015,12,780
7/24/2015,13,835
7/24/2015,14,954
7/24/2015,15,1057
7/24/2015,16,1097
7/24/2015,17,1141
7/24/2015,18,1160
7/24/2015,19,1153
7/24/2015,20,1163
7/24/2015,21,1146
7/24/2015,22,1173
7/24/2015,23,1162
7/25/2015,0,1165
7/25/2015,1,1157
7/25/2015,2,1112
7/25/2015,3,1077
7/25/2015,4,1057
7/25/2015,5,1063
7/25/2015,6,1014
7/25/2015,7,941
7/25/2015,8,885
