date,hour,mwh
7/1/2015,08H,377
7/1/2015,09H,220
7/1/2015,10H,241
7/1/2015,11H,239
7/1/2015,12H,235
7/1/2015,13H,232
7/1/2015,14H,418
7/1/2015,15H,591
7/1/2015,16H,588
7/1/2015,17H,664
7/1/2015,18H,793
7/1/2015,19H,753
7/1/2015,20H,652
7/1/2015,21H,819
7/1/2015,22H,844
7/1/2015,23H,844
7/2/2015,00H,904
7/2/2015,01H,911
7/2/2015,02H,701
7/2/2015,03H,635
7/2/2015,04H,716
7/2/2015,05H,719
7/2/2015,06H,751
7/2/2015,07H,548
7/2/2015,08H,317
7/2/2015,09H,259
7/2/2015,10H,247
7/2/2015,11H,264
7/2/2015,12H,255
7/2/2015,13H,352
7/2/2015,14H,460
7/2/2015,15H,585
7/2/2015,16H,542
7/2/2015,17H,774
7/2/2015,18H,826
7/2/2015,19H,771
7/2/2015,20H,739
7/2/2015,21H,816
7/2/2015,22H,804
7/2/2015,23H,834
7/3/2015,00H,830
7/3/2015,01H,835
7/3/2015,02H,613
7/3/2015,03H,557
7/3/2015,04H,641
7/3/2015,05H,628
7/3/2015,06H,632
7/3/2015,07H,574
7/3/2015,08H,269
7/3/2015,09H,281
7/3/2015,10H,262
7/3/2015,11H,181
7/3/2015,12H,212
7/3/2015,13H,282
7/3/2015,14H,433
7/3/2015,15H,531
7/3/2015,16H,639
7/3/2015,17H,765
7/3/2015,18H,746
7/3/2015,19H,794
7/3/2015,20H,834
7/3/2015,21H,986
7/3/2015,22H,904
7/3/2015,23H,952
7/4/2015,00H,1001
7/4/2015,01H,848
7/4/2015,02H,728
7/4/2015,03H,627
7/4/2015,04H,611
7/4/2015,05H,601
7/4/2015,06H,627
7/4/2015,07H,642
7/4/2015,08H,595
7/4/2015,09H,433
7/4/2015,10H,407
7/4/2015,11H,405
7/4/2015,12H,411
7/4/2015,13H,409
7/4/2015,14H,307
7/4/2015,15H,389
7/4/2015,16H,492
7/4/2015,17H,664
7/4/2015,18H,740
7/4/2015,19H,736
7/4/2015,20H,754
7/4/2015,21H,757
7/4/2015,22H,740
7/4/2015,23H,779
7/5/2015,00H,740
7/5/2015,01H,775
7/5/2015,02H,729
7/5/2015,03H,656
7/5/2015,04H,483
7/5/2015,05H,481
7/5/2015,06H,459
7/5/2015,07H,451
7/5/2015,08H,353
7/5/2015,09H,275
7/5/2015,10H,294
7/5/2015,11H,248
7/5/2015,12H,241
7/5/2015,13H,227
7/5/2015,14H,300
7/5/2015,15H,335
7/5/2015,16H,388
7/5/2015,17H,478
7/5/2015,18H,572
7/5/2015,19H,589
7/5/2015,20H,638
7/5/2015,21H,720
7/5/2015,22H,747
7/5/2015,23H,903
7/6/2015,00H,913
7/6/2015,01H,942
7/6/2015,02H,929
7/6/2015,03H,944
7/6/2015,04H,660
7/6/2015,05H,475
7/6/2015,06H,552
7/6/2015,07H,355
7/6/2015,08H,244
7/6/2015,09H,251
7/6/2015,10H,253
7/6/2015,11H,267
7/6/2015,12H,299
7/6/2015,13H,235
7/6/2015,14H,383
7/6/2015,15H,359
7/6/2015,16H,460
7/6/2015,17H,641
7/6/2015,18H,799
7/6/2015,19H,710
7/6/2015,20H,584
