date,hour,mwh
7/1/2015,23,844
7/1/2015,22,844
7/1/2015,21,819
7/1/2015,20,652
7/1/2015,19,753
7/1/2015,18,793
7/1/2015,17,664
7/1/2015,16,588
7/1/2015,15,591
7/1/2015,14,418
7/1/2015,13,232
7/1/2015,12,235
7/1/2015,11,239
7/1/2015,10,241
7/1/2015,9,220
7/1/2015,8,377
7/2/2015,23,834
7/2/2015,22,804
7/2/2015,21,816
7/2/2015,20,739
7/2/2015,19,771
7/2/2015,18,826
7/2/2015,17,774
7/2/2015,16,542
7/2/2015,15,585
7/2/2015,14,460
7/2/2015,13,352
7/2/2015,12,255
7/2/2015,11,264
7/2/2015,10,247
7/2/2015,9,259
7/2/2015,8,317
7/2/2015,7,548
7/2/2015,6,751
7/2/2015,5,719
7/2/2015,4,716
7/2/2015,3,635
7/2/2015,2,701
7/2/2015,1,911
7/2/2015,0,904
7/3/2015,23,952
7/3/2015,22,904
7/3/2015,21,986
7/3/2015,20,834
7/3/2015,19,794
7/3/2015,18,746
7/3/2015,17,765
7/3/2015,16,639
7/3/2015,15,531
7/3/2015,14,433
7/3/2015,13,282
7/3/2015,12,212
7/3/2015,11,181
7/3/2015,10,262
7/3/2015,9,281
7/3/2015,8,269
7/3/2015,7,574
7/3/2015,6,632
7/3/2015,5,628
7/3/2015,4,641
7/3/2015,3,557
7/3/2015,2,613
7/3/2015,1,835
7/3/2015,0,830
7/4/2015,23,779
7/4/2015,22,740
7/4/2015,21,757
7/4/2015,20,754
7/4/2015,19,736
7/4/2015,18,740
7/4/2015,17,664
7/4/2015,16,492
7/4/2015,15,389
7/4/2015,14,307
7/4/2015,13,409
7/4/2015,12,411
7/4/2015,11,405
7/4/2015,10,407
7/4/2015,9,433
7/4/2015,8,595
7/4/2015,7,642
7/4/2015,6,627
7/4/2015,5,601
7/4/2015,4,611
7/4/2015,3,627
7/4/2015,2,728
7/4/2015,1,848
7/4/2015,0,1001
7/5/2015,23,903
7/5/2015,22,747
7/5/2015,21,720
7/5/2015,20,638
7/5/2015,19,589
7/5/2015,18,572
7/5/2015,17,478
7/5/2015,16,388
7/5/2015,15,335
7/5/2015,14,300
7/5/2015,13,227
7/5/2015,12,241
7/5/2015,11,248
7/5/2015,10,294
7/5/2015,9,275
7/5/2015,8,353
7/5/2015,7,451
7/5/2015,6,459
7/5/2015,5,481
7/5/2015,4,483
7/5/2015,3,656
7/5/2015,2,729
7/5/2015,1,775
7/5/2015,0,740
7/6/2015,23,624
7/6/2015,22,686
7/6/2015,21,736
7/6/2015,20,584
7/6/2015,19,710
7/6/2015,18,799
7/6/2015,17,641
7/6/2015,16,460
7/6/2015,15,359
7/6/2015,14,383
7/6/2015,13,235
7/6/2015,12,299
7/6/2015,11,267
7/6/2015,10,253
