date,Hour,ad_mwh
7/1/2015,1,873
7/1/2015,2,833
7/1/2015,3,802
7/1/2015,4,796
7/1/2015,5,807
7/1/2015,6,856
7/1/2015,7,974
7/1/2015,8,1085
7/1/2015,9,1155
7/1/2015,10,1195
7/1/2015,11,1211
7/1/2015,12,1235
7/1/2015,13,1248
7/1/2015,14,1254
7/1/2015,15,1262
7/1/2015,16,1275
7/1/2015,17,1282
7/1/2015,18,1277
7/1/2015,19,1226
7/1/2015,20,1186
7/1/2015,21,1157
7/1/2015,22,1148
7/1/2015,23,1099
7/1/2015,24,995
7/2/2015,1,921
7/2/2015,2,859
7/2/2015,3,826
7/2/2015,4,819
7/2/2015,5,826
7/2/2015,6,870
7/2/2015,7,980
7/2/2015,8,1095
7/2/2015,9,1164
7/2/2015,10,1209
7/2/2015,11,1231
7/2/2015,12,1246
7/2/2015,13,1265
7/2/2015,14,1268
7/2/2015,15,1282
7/2/2015,16,1281
7/2/2015,17,1284
7/2/2015,18,1281
7/2/2015,19,1221
7/2/2015,20,1176
7/2/2015,21,1140
7/2/2015,22,1121
7/2/2015,23,1083
7/2/2015,24,992
7/3/2015,1,923
7/3/2015,2,867
7/3/2015,3,834
7/3/2015,4,818
7/3/2015,5,846
7/3/2015,6,865
7/3/2015,7,936
7/3/2015,8,1015
7/3/2015,9,1080
7/3/2015,10,1133
7/3/2015,11,1178
7/3/2015,12,1204
7/3/2015,13,1209
7/3/2015,14,1220
7/3/2015,15,1218
7/3/2015,16,1228
7/3/2015,17,1240
7/3/2015,18,1236
7/3/2015,19,1204
7/3/2015,20,1171
7/3/2015,21,1134
7/3/2015,22,1128
7/3/2015,23,1096
7/3/2015,24,1026
7/4/2015,1,960
7/4/2015,2,905
7/4/2015,3,868
7/4/2015,4,860
7/4/2015,5,844
7/4/2015,6,831
7/4/2015,7,854
7/4/2015,8,910
7/4/2015,9,998
7/4/2015,10,1044
7/4/2015,11,1087
7/4/2015,12,1104
7/4/2015,13,1118
7/4/2015,14,1116
7/4/2015,15,1121
7/4/2015,16,1108
7/4/2015,17,1118
7/4/2015,18,1109
7/4/2015,19,1105
7/4/2015,20,1073
7/4/2015,21,1051
7/4/2015,22,1035
7/4/2015,23,1004
7/4/2015,24,978
7/5/2015,1,930
7/5/2015,2,891
7/5/2015,3,867
7/5/2015,4,846
7/5/2015,5,837
7/5/2015,6,817
7/5/2015,7,826
7/5/2015,8,877
7/5/2015,9,918
7/5/2015,10,1021
7/5/2015,11,1072
7/5/2015,12,1099
7/5/2015,13,1115
7/5/2015,14,1133
7/5/2015,15,1087
7/5/2015,16,1104
7/5/2015,17,1117
7/5/2015,18,1125
7/5/2015,19,1157
7/5/2015,20,1163
7/5/2015,21,1157
7/5/2015,22,1158
7/5/2015,23,1114
7/5/2015,24,1020
7/6/2015,1,950
7/6/2015,2,909
7/6/2015,3,888
7/6/2015,4,875
7/6/2015,5,901
7/6/2015,6,932
7/6/2015,7,1035
7/6/2015,8,1114
7/6/2015,9,1188
7/6/2015,10,1215
7/6/2015,11,1268
7/6/2015,12,1290
7/6/2015,13,1288
7/6/2015,14,1321
7/6/2015,15,1330
7/6/2015,16,1325
7/6/2015,17,1334
7/6/2015,18,1327
7/6/2015,19,1280
7/6/2015,20,1240
7/6/2015,21,1197
7/6/2015,22,1184
7/6/2015,23,1118
7/6/2015,24,1018
7/7/2015,1,940
7/7/2015,2,889
7/7/2015,3,855
7/7/2015,4,842
7/7/2015,5,861
7/7/2015,6,887
7/7/2015,7,1005
7/7/2015,8,1104
7/7/2015,9,1148
7/7/2015,10,1187
7/7/2015,11,1204
7/7/2015,12,1233
7/7/2015,13,1228
7/7/2015,14,1252
7/7/2015,15,1266
7/7/2015,16,1266
7/7/2015,17,1271
7/7/2015,18,1237
7/7/2015,19,1159
7/7/2015,20,1119
7/7/2015,21,1095
7/7/2015,22,1080
7/7/2015,23,1022
7/7/2015,24,926
7/8/2015,1,849
7/8/2015,2,812
7/8/2015,3,783
7/8/2015,4,775
7/8/2015,5,793
7/8/2015,6,832
7/8/2015,7,943
7/8/2015,8,1052
7/8/2015,9,1105
7/8/2015,10,1131
7/8/2015,11,1172
7/8/2015,12,1201
7/8/2015,13,1213
7/8/2015,14,1220
7/8/2015,15,1206
7/8/2015,16,1227
7/8/2015,17,1239
7/8/2015,18,1231
7/8/2015,19,1177
7/8/2015,20,1138
7/8/2015,21,1111
7/8/2015,22,1105
7/8/2015,23,1053
7/8/2015,24,955
7/9/2015,1,870
7/9/2015,2,827
7/9/2015,3,802
7/9/2015,4,789
7/9/2015,5,798
7/9/2015,6,848
7/9/2015,7,946
7/9/2015,8,1051
7/9/2015,9,1101
7/9/2015,10,1136
7/9/2015,11,1178
7/9/2015,12,1199
7/9/2015,13,1216
7/9/2015,14,1238
7/9/2015,15,1244
7/9/2015,16,1255
7/9/2015,17,1255
7/9/2015,18,1249
7/9/2015,19,1200
