date,hour,mwh
7/1/2015,23,-415
7/1/2015,22,-402
7/1/2015,21,-419
7/1/2015,20,-582
7/1/2015,19,-466
7/1/2015,18,-402
7/1/2015,17,-515
7/1/2015,16,-552
7/1/2015,15,-480
7/1/2015,14,-546
7/1/2015,13,-612
7/1/2015,12,-561
7/1/2015,11,-546
7/1/2015,10,-550
7/1/2015,9,-601
7/1/2015,8,-484
7/2/2015,23,-431
7/2/2015,22,-462
7/2/2015,21,-437
7/2/2015,20,-511
7/2/2015,19,-459
7/2/2015,18,-389
7/2/2015,17,-420
7/2/2015,16,-608
7/2/2015,15,-498
7/2/2015,14,-509
7/2/2015,13,-506
7/2/2015,12,-559
7/2/2015,11,-544
7/2/2015,10,-567
7/2/2015,9,-588
7/2/2015,8,-591
7/2/2015,7,-433
7/2/2015,6,-333
7/2/2015,5,-411
7/2/2015,4,-424
7/2/2015,3,-537
7/2/2015,2,-509
7/2/2015,1,-350
7/2/2015,0,-363
7/3/2015,23,-259
7/3/2015,22,-296
7/3/2015,21,-218
7/3/2015,20,-358
7/3/2015,19,-391
7/3/2015,18,-412
7/3/2015,17,-350
7/3/2015,16,-425
7/3/2015,15,-467
7/3/2015,14,-490
7/3/2015,13,-573
7/3/2015,12,-624
7/3/2015,11,-627
7/3/2015,10,-563
7/3/2015,9,-575
7/3/2015,8,-643
7/3/2015,7,-403
7/3/2015,6,-434
7/3/2015,5,-478
7/3/2015,4,-484
7/3/2015,3,-604
7/3/2015,2,-592
7/3/2015,1,-429
7/3/2015,0,-437
7/4/2015,23,-315
7/4/2015,22,-365
7/4/2015,21,-343
7/4/2015,20,-348
7/4/2015,19,-350
7/4/2015,18,-329
7/4/2015,17,-363
7/4/2015,16,-490
7/4/2015,15,-507
7/4/2015,14,-535
7/4/2015,13,-412
7/4/2015,12,-423
7/4/2015,11,-444
7/4/2015,10,-450
7/4/2015,9,-461
7/4/2015,8,-354
7/4/2015,7,-371
7/4/2015,6,-455
7/4/2015,5,-511
7/4/2015,4,-506
7/4/2015,3,-527
7/4/2015,2,-461
7/4/2015,1,-372
7/4/2015,0,-223
7/5/2015,23,-185
7/5/2015,22,-324
7/5/2015,21,-396
7/5/2015,20,-461
7/5/2015,19,-494
7/5/2015,18,-485
7/5/2015,17,-527
7/5/2015,16,-516
7/5/2015,15,-530
7/5/2015,14,-515
7/5/2015,13,-578
7/5/2015,12,-583
7/5/2015,11,-586
7/5/2015,10,-559
7/5/2015,9,-603
7/5/2015,8,-563
7/5/2015,7,-513
7/5/2015,6,-530
7/5/2015,5,-537
7/5/2015,4,-550
7/5/2015,3,-401
7/5/2015,2,-360
