,Date,Hour,Temp,RH,Dewpt,Wind_Spd,Wind_Direction
0,2020-01-14,23,36,61,24,18,170
1,2020-01-14,22,36,66,26,16,180
2,2020-01-14,21,36,67,26,17,170
3,2020-01-14,20,35,72,27,15,170
4,2020-01-14,19,34,78,28,10,170
5,2020-01-14,18,34,75,27,11,170
6,2020-01-14,17,35,66,25,7,200
7,2020-01-14,16,33,69,24,5,140
8,2020-01-14,15,33,71,25,5,80
9,2020-01-14,14,31,75,24,6,70
10,2020-01-14,13,31,81,26,6,60
11,2020-01-14,12,30,85,26,5,50
12,2020-01-14,11,31,78,25,5,10
13,2020-01-14,10,30,81,25,6,360
14,2020-01-14,9,32,80,26,0,0
15,2020-01-14,8,30,85,26,5,140
16,2020-01-14,7,30,78,24,3,70
17,2020-01-14,6,30,78,24,0,0
18,2020-01-14,5,29,81,24,0,0
19,2020-01-14,4,29,84,25,3,70
20,2020-01-14,3,30,81,25,3,60
21,2020-01-14,2,30,81,25,3,10
22,2020-01-14,1,30,85,26,0,0
23,2020-01-14,0,30,85,26,5,M
24,2020-01-13,23,31,81,26,6,30
25,2020-01-13,22,31,81,26,3,M
26,2020-01-13,21,31,85,27,3,M
27,2020-01-13,20,31,81,26,3,M
28,2020-01-13,19,32,80,27,5,M
29,2020-01-13,18,32,80,27,0,0
30,2020-01-13,17,33,77,27,3,M
31,2020-01-13,16,34,81,29,5,M
32,2020-01-13,15,35,84,31,6,M
33,2020-01-13,14,35,88,32,3,M
34,2020-01-13,13,34,92,32,3,320
35,2020-01-13,12,36,89,33,6,140
36,2020-01-13,11,37,81,32,8,170
37,2020-01-13,10,36,81,31,7,190
38,2020-01-13,9,36,81,31,6,160
39,2020-01-13,8,35,81,30,8,210
40,2020-01-13,7,36,72,28,9,220
41,2020-01-13,6,35,75,28,5,200
42,2020-01-13,5,34,75,27,5,220
43,2020-01-13,4,34,75,27,7,220
44,2020-01-13,3,34,75,27,7,210
45,2020-01-13,2,35,72,27,6,M
46,2020-01-13,1,34,85,30,5,120
47,2020-01-13,0,33,91,31,5,150
48,2020-01-12,23,33,88,30,5,140
49,2020-01-12,22,34,85,30,3,M
50,2020-01-12,21,37,72,29,8,200
51,2020-01-12,20,38,69,29,3,240
