Date,Hour,Temp,RH,Dewpt,Wind_Spd,Wind_Direction
7/1/2015,15,88,31,54,9,300
7/1/2015,16,86,34,55,8,300
7/1/2015,17,86,35,56,8,320
7/1/2015,12,84,35,54,10,310
7/1/2015,13,81,39,54,9,300
7/1/2015,14,87,31,53,11,300
7/1/2015,21,79,42,54,5,M
7/1/2015,22,78,43,54,0,0
7/1/2015,23,75,47,54,0,0
7/1/2015,18,85,36,55,7,310
7/1/2015,19,82,39,55,5,300
7/1/2015,20,79,42,54,5,310
7/1/2015,3,65,67,54,3,310
7/1/2015,4,65,67,54,3,320
7/1/2015,5,67,63,54,0,0
7/1/2015,0,71,49,51,0,0
7/1/2015,1,69,54,52,0,0
7/1/2015,2,68,60,54,0,0
7/1/2015,9,76,48,55,7,300
7/1/2015,10,79,43,55,7,310
7/1/2015,11,82,38,54,7,M
7/1/2015,6,72,53,54,6,40
7/1/2015,7,75,47,54,7,50
7/1/2015,8,76,46,54,7,300
7/2/2015,15,92,25,52,8,310
7/2/2015,16,92,26,53,8,310
7/2/2015,17,91,28,54,7,320
7/2/2015,12,90,28,53,9,310
7/2/2015,13,90,28,53,8,310
7/2/2015,14,91,26,52,10,300
7/2/2015,21,81,36,52,0,0
7/2/2015,22,77,44,54,0,0
7/2/2015,23,75,47,54,5,300
7/2/2015,18,89,28,52,8,320
7/2/2015,19,87,30,52,6,M
7/2/2015,20,85,29,50,0,0
7/2/2015,3,68,58,53,0,0
7/2/2015,4,68,60,54,3,310
7/2/2015,5,70,56,54,0,0
7/2/2015,0,74,48,53,0,0
7/2/2015,1,72,53,54,3,M
7/2/2015,2,70,54,53,3,350
7/2/2015,9,81,38,53,8,330
7/2/2015,10,83,35,53,8,330
7/2/2015,11,87,31,53,8,330
7/2/2015,6,73,51,54,5,M
7/2/2015,7,76,46,54,3,330
7/2/2015,8,79,42,54,5,310
7/3/2015,15,92,25,52,6,M
7/3/2015,16,92,25,52,9,300
7/3/2015,17,91,26,52,7,300
7/3/2015,12,89,27,51,6,320
7/3/2015,13,91,23,49,3,M
7/3/2015,14,92,25,52,7,300
7/3/2015,21,79,39,52,3,M
7/3/2015,22,77,44,54,5,340
7/3/2015,23,72,51,53,0,0
7/3/2015,18,87,30,52,6,310
7/3/2015,19,84,30,50,5,320
7/3/2015,20,81,35,51,3,300
7/3/2015,3,68,58,53,3,M
7/3/2015,4,68,58,53,0,0
7/3/2015,5,70,56,54,0,0
7/3/2015,0,73,51,54,3,270
7/3/2015,1,72,53,54,0,0
7/3/2015,2,70,56,54,0,0
7/3/2015,9,80,42,55,6,320
7/3/2015,10,84,35,54,8,300
7/3/2015,11,87,32,54,9,320
7/3/2015,6,72,53,54,3,290
7/3/2015,7,75,46,53,3,320
7/3/2015,8,78,43,54,6,310
7/4/2015,15,92,15,39,9,320
7/4/2015,16,91,16,39,9,300
7/4/2015,17,91,16,40,8,350
7/4/2015,12,88,22,45,3,M
7/4/2015,13,89,20,43,9,300
7/4/2015,14,89,15,36,10,300
7/4/2015,21,79,31,46,0,0
7/4/2015,22,76,37,48,0,0
7/4/2015,23,73,42,49,0,0
7/4/2015,18,89,19,42,0,0
7/4/2015,19,85,22,43,0,0
7/4/2015,20,81,27,44,3,300
7/4/2015,3,65,67,54,6,170
7/4/2015,4,63,70,53,5,130
7/4/2015,5,66,62,53,5,100
7/4/2015,0,72,53,54,0,0
7/4/2015,1,69,58,54,3,200
7/4/2015,2,68,60,54,0,0
7/4/2015,9,79,40,53,7,300
7/4/2015,10,82,29,47,8,300
7/4/2015,11,86,24,46,5,280
7/4/2015,6,69,58,54,0,0
7/4/2015,7,73,53,55,0,0
7/4/2015,8,76,46,54,3,300
7/5/2015,15,90,22,46,7,310
7/5/2015,16,90,21,45,7,330
7/5/2015,17,88,22,45,7,300
7/5/2015,12,85,27,48,9,300
7/5/2015,13,88,24,47,10,300
7/5/2015,14,89,21,45,8,320
7/5/2015,21,79,31,46,3,320
7/5/2015,22,76,37,48,0,0
7/5/2015,23,71,56,55,5,190
7/5/2015,18,87,21,43,6,300
7/5/2015,19,84,24,44,5,290
7/5/2015,20,82,27,45,3,340
7/5/2015,3,68,58,53,0,0
7/5/2015,4,67,61,53,0,0
7/5/2015,5,68,58,53,0,0
7/5/2015,0,73,46,51,3,330
7/5/2015,1,71,49,51,0,0
7/5/2015,2,69,56,53,0,0
7/5/2015,9,80,35,50,5,M
7/5/2015,10,83,30,49,8,300
7/5/2015,11,84,27,47,7,320
7/5/2015,6,71,54,54,0,0
7/5/2015,7,74,49,54,5,280
7/5/2015,8,75,46,53,5,320
7/6/2015,15,86,32,53,3,M
7/6/2015,16,86,26,48,3,200
7/6/2015,17,86,28,50,7,220
7/6/2015,12,84,33,52,7,M
7/6/2015,13,84,34,53,9,220
7/6/2015,14,85,33,53,0,0
7/6/2015,21,70,56,54,0,0
7/6/2015,22,68,58,53,6,230
7/6/2015,23,65,65,53,7,180
7/6/2015,18,83,30,49,5,190
7/6/2015,19,77,41,52,3,220
7/6/2015,20,74,49,54,0,0
7/6/2015,3,65,65,53,7,190
7/6/2015,4,63,70,53,5,180
7/6/2015,5,64,69,54,5,190
7/6/2015,0,68,60,54,5,150
7/6/2015,1,66,65,54,5,160
7/6/2015,2,66,60,52,9,150
7/6/2015,9,76,48,55,3,M
7/6/2015,10,79,43,55,3,M
7/6/2015,11,81,39,54,7,180
7/6/2015,6,67,63,54,7,150
7/6/2015,7,69,58,54,5,M
7/6/2015,8,73,51,54,5,M
7/7/2015,15,80,40,54,6,330
7/7/2015,16,78,45,55,8,300
7/7/2015,17,76,48,55,7,300
7/7/2015,12,77,43,53,0,0
7/7/2015,13,80,39,53,6,M
7/7/2015,14,80,39,53,3,M
7/7/2015,21,68,60,54,5,310
7/7/2015,22,67,65,55,3,330
7/7/2015,23,66,65,54,3,360
7/7/2015,18,73,53,55,5,320
7/7/2015,19,71,56,55,6,310
7/7/2015,20,69,58,54,0,0
7/7/2015,3,61,72,52,7,160
7/7/2015,4,61,72,52,7,170
7/7/2015,5,62,69,52,7,200
7/7/2015,0,63,67,52,6,190
7/7/2015,1,62,69,52,7,M
7/7/2015,2,61,72,52,7,150
7/7/2015,9,70,56,54,0,0
7/7/2015,10,71,54,54,5,M
7/7/2015,11,75,47,54,3,M
7/7/2015,6,63,67,52,6,200
7/7/2015,7,65,65,53,0,0
7/7/2015,8,67,61,53,5,190
7/8/2015,15,86,30,51,8,320
7/8/2015,16,84,35,54,8,310
7/8/2015,17,82,34,51,8,290
7/8/2015,12,82,39,55,7,270
7/8/2015,13,84,37,55,5,340
7/8/2015,14,85,36,55,6,M
7/8/2015,21,73,49,53,0,0
7/8/2015,22,71,54,54,0,0
7/8/2015,23,69,58,54,0,0
7/8/2015,18,78,40,52,7,290
7/8/2015,19,76,44,53,5,M
7/8/2015,20,74,48,53,3,320
7/8/2015,3,63,72,54,0,0
7/8/2015,4,63,72,54,0,0
7/8/2015,5,64,69,54,0,0
7/8/2015,0,65,67,54,0,0
7/8/2015,1,65,67,54,0,0
7/8/2015,2,64,69,54,0,0
7/8/2015,9,73,55,56,5,330
7/8/2015,10,76,49,56,3,350
7/8/2015,11,79,45,56,3,310
7/8/2015,6,67,65,55,0,0
7/8/2015,7,69,60,55,0,0
7/8/2015,8,71,56,55,3,M
7/9/2015,15,85,41,59,5,M
7/9/2015,16,85,40,58,6,330
