USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
727930 24233 201701010000 170  10 *** *** OVC * * *  8.8 ** ** ** ** ** ** ** ** *   36   34 1013.1 *****  995.9  36  29 *****  0.01 ***** ***** **
727930 24233 201701010053 170  10 ***  10 *** * * * 10.0 ** ** ** ** ** ** ** ** *   38   36 1011.3 29.84  994.8 *** ***  0.00 ***** ***** ***** **
727930 24233 201701010107 170  13 ***   6 *** * * *  9.1 ** ** ** ** ** ** ** ** *   37   36 ****** 29.82  994.1 *** *** ***** ***** ***** ***** **
727930 24233 201701010153 170  11 ***   6 *** * * *  9.1 ** ** ** ** 61 ** ** ** *   37   36 1009.8 29.79  993.1 *** ***  0.02 ***** ***** ***** **
727930 24233 201701010253 200  11  22   7 *** * * * 10.0 ** ** ** ** ** ** ** ** *   38   36 1008.7 29.76  992.1 *** ***  0.00T***** *****  0.02 **
727930 24233 201701010353 230  16  23   7 *** * * * 10.0 ** ** ** ** ** ** ** ** *   38   36 1008.2 29.74  991.4 *** ***  0.00 ***** ***** ***** **
727930 24233 201701010407 240  13 ***  11 *** * * * 10.0 ** ** ** ** ** ** ** ** *   38   35 ****** 29.75  991.8 *** *** ***** ***** ***** ***** **
727930 24233 201701010453 220  11 ***  14 *** * * * 10.0 ** ** ** ** ** ** ** ** *   38   34 1008.0 29.74  991.4 *** ***  0.00 ***** ***** ***** **
727930 24233 201701010525 220  10 ***  15 *** * * * 10.0 ** ** ** ** ** ** ** ** *   37   34 ****** 29.73  991.1 *** *** ***** ***** ***** ***** **
727930 24233 201701010553 230  10 ***  17 *** * * * 10.0 ** ** ** ** ** ** ** ** *   37   34 1007.6 29.73  991.1  38  36  0.00  0.02 ***** ***** **
727930 24233 201701010600 230  10 *** *** BKN * * * 10.0 ** ** ** ** ** ** ** ** *   37   34 1007.6 *****  990.6  38  29 *****  0.02 ***** ***** **
727930 24233 201701010622 250   7 ***  14 *** * * * 10.0 ** ** ** ** ** ** ** ** *   38   34 ****** 29.74  991.4 *** *** ***** ***** ***** ***** **
727930 24233 201701010653 260   6 ***  14 *** * * * 10.0 ** ** ** ** ** ** ** ** *   38   34 1008.1 29.74  991.4 *** ***  0.00 ***** ***** ***** **
727930 24233 201701010708 230   8 ***  19 *** * * * 10.0 ** ** ** ** ** ** ** ** *   38   33 ****** 29.73  991.1 *** *** ***** ***** ***** ***** **
727930 24233 201701010736 240   8 ***  38 *** * * * 10.0 ** ** ** ** ** ** ** ** *   37   33 ****** 29.73  991.1 *** *** ***** ***** ***** ***** **
727930 24233 201701010753 230   9 ***  38 *** * * * 10.0 ** ** ** ** ** ** ** ** *   37   34 1007.6 29.73  991.1  38  29  0.00 ***** ***** ***** **
727930 24233 201701010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  38  29 ***** *****  0.03 *****  0
727930 24233 201701010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ****** *** *** ***** ***** ***** ***** **
727930 24233 201701010853 220   9 ***  60 *** * * * 10.0 ** ** ** ** ** ** ** ** *   37   34 1007.1 29.71  990.4 *** ***  0.00 ***** ***** ***** **
727930 24233 201701010940 040  11 ***  11 *** * * *  7.0 ** ** ** ** 71 ** ** ** *   35   33 ****** 29.71  990.4 *** ***  0.00T***** ***** ***** **
727930 24233 201701010953 020  10 ***  11 *** * * *  6.0 ** ** ** ** 71 10 ** ** *   33   32 1006.9 29.71  990.4 *** ***  0.08 ***** ***** ***** **
727930 24233 201701010955 020  10 ***   7 *** * * *  1.3 ** ** ** ** 71 10 ** ** *   33   32 ****** 29.71  990.4 *** ***  0.00T***** ***** ***** **
727930 24233 201701011007 030  13 ***   9 *** * * *  0.5 ** ** ** ** 72 30 ** ** *   33   32 ****** 29.70  990.1 *** ***  0.03 ***** ***** ***** **
727930 24233 201701011051 040   8 ***   4 OBS * * *  0.5 ** ** ** ** 72 30 ** ** *   34   32 ****** 29.71  990.4 *** *** ***** ***** ***** ***** **
