USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
727930,24233,202001010000,190,18,***,***,OVC,*,*,*,8.8,61,**,**,**,**,**,**,**,*,50,46,1008.1,*****,991.2,50,47,*****,0.12,*****,*****,**
727930,24233,202001010029,190,15,26,8,***,*,*,*,3.0,61,**,**,**,61,10,**,**,*,49,47,******,29.75,991.8,***,***,0.07,*****,*****,*****,**
727930,24233,202001010053,170,18,26,8,***,*,*,*,6.0,61,**,**,**,61,10,**,**,*,49,46,1006.4,29.70,990.1,***,***,0.10,*****,*****,*****,**
727930,24233,202001010153,180,21,31,8,***,*,*,*,10.0,61,**,**,**,61,**,**,**,*,49,47,1005.9,29.69,989.8,***,***,0.02,*****,*****,*****,**
727930,24233,202001010253,190,23,34,6,***,*,*,*,6.0,61,**,**,**,61,10,**,**,*,50,48,1005.1,29.66,988.7,***,***,0.01,*****,*****,0.13,**
727930,24233,202001010353,210,17,30,5,***,*,*,*,10.0,61,**,**,**,61,**,**,**,*,50,48,1004.9,29.65,988.4,***,***,0.00T*****,*****,*****,**,
727930,24233,202001010453,200,16,29,6,***,*,*,*,10.0,61,**,**,**,61,**,**,**,*,51,49,1005.1,29.66,988.7,***,***,0.00T*****,*****,*****,**,
727930,24233,202001010553,210,16,28,8,***,*,*,*,10.0,**,**,**,**,**,**,**,**,*,53,50,1005.4,29.67,989.1,53,49,0.00,0.13,*****,*****,**
727930,24233,202001010600,210,16,***,***,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,53,50,1005.4,*****,988.6,53,47,*****,0.12,*****,*****,**
727930,24233,202001010619,220,15,25,10,***,*,*,*,10.0,**,**,**,**,**,**,**,**,*,53,50,******,29.67,989.1,***,***,*****,*****,*****,*****,**
727930,24233,202001010653,220,14,33,12,***,*,*,*,10.0,**,**,**,**,**,**,**,**,*,53,49,1005.2,29.66,988.7,***,***,0.00,*****,*****,*****,**
727930,24233,202001010753,220,18,31,13,***,*,*,*,10.0,**,**,**,**,**,**,**,**,*,53,49,1005.3,29.67,989.1,53,46,0.00,*****,*****,*****,**
727930,24233,202001010759,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,53,46,*****,*****,0.26,*****,0
727930,24233,202001010759,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
727930,24233,202001010812,210,17,29,15,***,*,*,*,10.0,**,**,**,**,**,**,**,**,*,53,48,******,29.66,988.7,***,***,*****,*****,*****,*****,**
727930,24233,202001010853,220,28,33,15,***,*,*,*,10.0,**,**,**,**,**,**,**,**,*,53,48,1005.1,29.66,988.7,***,***,0.00,*****,*****,*****,**
727930,24233,202001010953,220,17,28,15,***,*,*,*,10.0,**,**,**,**,**,**,**,**,*,52,47,1005.6,29.68,989.4,***,***,0.00,*****,*****,*****,**
727930,24233,202001011053,220,18,30,15,***,*,*,*,10.0,**,**,**,**,**,**,**,**,*,52,47,1005.1,29.66,988.7,***,***,0.00,*****,*****,*****,**
727930,24233,202001011153,220,14,25,15,***,*,*,*,10.0,**,**,**,**,**,**,**,**,*,51,46,1005.7,29.68,989.4,53,51,0.00,*****,0.25,*****,**
727930,24233,202001011200,220,14,***,***,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,51,46,1005.7,*****,988.9,53,49,*****,*****,0.25,*****,**
727930,24233,202001011253,230,15,25,15,***,*,*,*,10.0,**,**,**,**,**,**,**,**,*,51,46,1005.8,29.68,989.4,***,***,0.00,*****,*****,*****,**
